File Name,LineStrings
3721.json,"[[[94.0, 163.0], [137.0, 163.0]], [[76.0, 44.0], [76.0, 91.0]], [[76.0, 115.0], [76.0, 163.0]], [[139.0, 103.0], [139.0, 44.0]]]"
2833.json,"[[[88.5, 126.0], [88.5, 83.0]]]"
729.json,"[[[132.0, 104.0], [71.0, 104.0]], [[71.0, 170.0], [139.0, 170.0]]]"
3371.json,"[[[152.5, 98.5], [82.0, 98.5]]]"
683.json,"[[[159.0, 125.5], [159.0, 48.0]], [[97.0, 66.0], [97.0, 110.0]]]"
379.json,"[[[126.0, 175.0], [126.0, 130.5]]]"
2999.json,"[[[83.0, 84.0], [83.0, 146.0]], [[132.0, 206.0], [132.0, 141.5]]]"
2130.json,"[[[148.0, 128.5], [148.0, 57.0]], [[92.0, 57.0], [92.0, 119.0]]]"
2560.json,"[[[126.0, 148.0], [126.0, 199.0]]]"
2075.json,"[[[160.0, 138.0], [109.0, 138.0]]]"
4908.json,"[[[150.0, 205.0], [150.0, 132.0]], [[94.0, 159.0], [94.0, 205.0]]]"
2425.json,"[[[145.0, 206.0], [145.0, 142.5]], [[88.0, 108.0], [88.0, 163.0]]]"
3664.json,[]
1659.json,"[[[197.0, 172.0], [197.0, 126.0]], [[197.0, 102.0], [197.0, 57.0]]]"
2976.json,[]
396.json,"[[[161.0, 200.0], [161.0, 152.0]], [[112.0, 150.0], [112.0, 200.0]]]"
3234.json,"[[[132.5, 198.0], [132.5, 149.5]]]"
1209.json,"[[[70.0, 90.0], [70.0, 138.0]]]"
816.json,"[[[93.0, 123.5], [154.0, 123.5]]]"
1823.json,"[[[142.0, 171.0], [142.0, 126.0]]]"
1989.json,"[[[129.0, 159.5], [129.0, 222.0]]]"
4322.json,"[[[148.0, 138.0], [148.0, 193.0]], [[204.0, 193.0], [204.0, 129.0]]]"
115.json,"[[[151.0, 194.0], [151.0, 98.0]], [[91.0, 139.0], [91.0, 194.0]]]"
1120.json,"[[[144.0, 137.0], [144.0, 185.0]], [[195.0, 185.0], [195.0, 131.0]], [[195.0, 107.0], [195.0, 53.0]]]"
4772.json,"[[[91.0, 137.0], [143.0, 137.0]]]"
545.json,"[[[127.0, 115.5], [83.0, 115.5]], [[127.0, 51.0], [127.0, 115.5]], [[107.0, 162.0], [107.0, 206.0]], [[158.0, 206.0], [158.0, 146.0]], [[182.0, 146.0], [182.0, 102.0]]]"
1570.json,"[[[129.0, 178.0], [129.0, 117.5]], [[159.5, 117.5], [159.5, 57.0]]]"
4288.json,[]
1065.json,"[[[81.0, 63.0], [81.0, 127.0]], [[128.0, 177.0], [128.0, 119.5]]]"
3058.json,"[[[114.0, 128.0], [114.0, 184.0]]]"
4267.json,"[[[137.0, 125.0], [182.0, 125.0]]]"
1435.json,"[[[146.5, 186.0], [146.5, 138.0]], [[118.0, 117.5], [118.0, 59.0]], [[63.0, 109.0], [63.0, 152.0]]]"
3408.json,"[[[126.0, 152.5], [126.0, 215.0]], [[178.0, 215.0], [178.0, 166.0]]]"
4637.json,"[[[139.0, 50.0], [139.0, 103.0]], [[106.0, 136.0], [106.0, 204.0]]]"
400.json,"[[[190.0, 77.0], [140.0, 77.0]]]"
1966.json,"[[[80.0, 54.0], [80.0, 102.0]], [[80.0, 126.0], [80.0, 196.0]], [[133.0, 119.5], [133.0, 54.0]]]"
2649.json,"[[[101.0, 105.0], [101.0, 169.0]]]"
953.json,"[[[134.0, 116.0], [134.0, 71.0]]]"
2219.json,"[[[81.0, 143.0], [81.0, 192.0]]]"
2537.json,"[[[97.0, 161.0], [97.0, 215.0]], [[156.0, 215.0], [156.0, 128.0]]]"
2167.json,"[[[164.0, 211.0], [164.0, 142.5]]]"
4119.json,"[[[104.5, 62.0], [104.5, 189.0]]]"
3326.json,"[[[132.0, 200.0], [132.0, 147.0]], [[91.0, 79.0], [91.0, 126.0]]]"
4549.json,[]
3776.json,"[[[132.5, 185.0], [132.5, 126.0]]]"
2864.json,"[[[127.5, 214.0], [127.5, 66.0]]]"
284.json,"[[[129.0, 155.0], [129.0, 198.0]], [[175.0, 198.0], [175.0, 149.0]], [[175.0, 125.0], [175.0, 76.0]]]"
3263.json,"[[[126.0, 56.0], [126.0, 117.5]]]"
791.json,"[[[140.5, 102.0], [96.0, 102.0]], [[179.0, 111.0], [179.0, 68.0]], [[96.0, 139.0], [96.0, 195.0]]]"
3799.json,"[[[84.5, 79.0], [84.5, 132.5]], [[168.0, 173.0], [168.0, 119.0]]]"
3633.json,"[[[51.0, 58.0], [51.0, 105.0]], [[117.0, 111.5], [117.0, 58.0]]]"
2921.json,"[[[127.0, 120.5], [127.0, 194.0]], [[194.0, 194.0], [194.0, 132.0]], [[194.0, 108.0], [194.0, 46.0]]]"
2472.json,"[[[114.0, 44.0], [114.0, 106.0]], [[114.0, 149.5], [114.0, 215.0]], [[184.0, 161.0], [184.0, 109.0]]]"
2188.json,"[[[159.5, 121.5], [159.5, 59.0]]]"
2022.json,"[[[162.0, 155.0], [162.0, 110.0]]]"
1527.json,"[[[151.5, 97.0], [99.0, 97.0]], [[200.0, 184.0], [200.0, 130.0]]]"
4725.json,"[[[127.5, 79.0], [74.0, 79.0]]]"
512.json,"[[[170.0, 128.0], [170.0, 84.0]]]"
1177.json,"[[[150.5, 207.0], [150.5, 74.0]], [[109.0, 74.0], [109.0, 131.0]], [[78.0, 161.0], [78.0, 207.0]]]"
4375.json,"[[[137.0, 130.0], [137.0, 203.0]]]"
142.json,"[[[66.0, 136.0], [126.0, 136.0]]]"
1874.json,[]
3849.json,"[[[159.5, 100.5], [93.0, 100.5]], [[179.0, 189.0], [179.0, 135.0]]]"
841.json,"[[[125.0, 102.0], [75.0, 102.0]]]"
904.json,"[[[123.0, 96.0], [123.0, 146.0]]]"
1931.json,"[[[103.5, 76.0], [57.0, 76.0]], [[75.0, 147.0], [135.0, 147.0]]]"
4660.json,"[[[143.0, 189.0], [143.0, 127.0]]]"
1198.json,[]
457.json,"[[[108.0, 143.0], [58.0, 143.0]]]"
1462.json,"[[[132.0, 233.0], [132.0, 149.5]], [[132.0, 114.5], [132.0, 46.0]]]"
4230.json,[]
1032.json,"[[[170.0, 104.0], [122.5, 104.0]], [[157.0, 188.0], [157.0, 130.5]]]"
292.json,"[[[122.0, 81.0], [167.5, 81.0]]]"
2872.json,"[[[192.0, 186.0], [192.0, 131.0]], [[192.0, 107.0], [192.0, 53.0]]]"
3760.json,"[[[148.0, 90.0], [103.5, 90.0]]]"
768.json,"[[[163.0, 134.0], [163.0, 80.0]], [[107.0, 62.0], [107.0, 135.5]]]"
3330.json,"[[[132.5, 214.0], [132.5, 95.0]], [[73.0, 95.0], [73.0, 154.0]]]"
338.json,"[[[172.0, 109.0], [172.0, 50.0]], [[108.0, 50.0], [108.0, 110.5]]]"
